feature,python_max_score
Siglec.6,0.998
IL.1.R4,0.97
SLPI,0.82
Activin.A,0.816
PLXB2,0.776
Angiopoietin.2,0.736
MMP.12,0.702
VEGF121,0.532
OX2G,0.496
sTie.2,0.458
SLIK5,0.456
uPA,0.446
HCG,0.434
SPINT2,0.422
Antithrombin.III,0.382
RELT,0.378
PAI.1,0.362
GPNMB,0.358
discoidin.domain.receptor.1,0.344
S100A12,0.34
Insulin,0.318
GRN,0.314
Growth.hormone.receptor,0.312
MCP.3,0.286
MIP.1a,0.274
sL.Selectin,0.258
Cystatin.C,0.242
MP2K4,0.24
Glucocorticoid.receptor,0.24
Gelsolin,0.238
IL.12.RB2,0.236
Angiogenin,0.23
BLC,0.226
Notch.1,0.222
ROR1,0.222
Galectin.3,0.218
BID,0.212
NEGR1,0.196
GDF2,0.196
FABP,0.186
BNP.32,0.182
HRG,0.178
LGMN,0.178
Galectin.7,0.176
Survivin,0.176
TCCR,0.172
CD5L,0.166
AFP,0.164
PARC,0.164
annexin.I,0.162
DLC8,0.16
Endostatin,0.158
HPLN1,0.156
MIC.1,0.152
IP.10,0.15
OLR1,0.146
Kallikrein.7,0.146
PSMA,0.144
ROBO2,0.138
sRANKL,0.138
NKp30,0.134
HGFA,0.134
TF,0.132
HCE004359,0.132
DERM,0.132
Cathepsin.A,0.13
Vitronectin,0.13
RAP,0.126
LAG.3,0.126
BGN,0.126
HCE004333,0.12
H2B2E,0.118
VEGF.D,0.114
Cadherin.5,0.114
ALCAM,0.112
granzyme.A,0.112
FGF.10,0.112
ISLR2,0.112
X3HIDH,0.11
HEMK2,0.108
ANK2,0.108
PTN,0.102
PRL,0.102
TBK1,0.1
GP1BA,0.1
FCN1,0.1
Troponin.T,0.098
SCF.sR,0.096
Somatostatin.28,0.092
PolyUbiquitin.K63,0.092
CHL1,0.092
IL.18.Ra,0.09
IL.5.Ra,0.09
Trypsin,0.088
MMP.9,0.086
IL.1F6,0.086
SMOC1,0.084
a2.HS.Glycoprotein,0.084
Troponin.I..skeletal..fast.twitch,0.084
PFD5,0.082
HCK,0.082
GP114,0.082
HCE000414,0.082
annexin.II,0.082
SH21A,0.08
HCE000104,0.08
MAPKAPK3,0.078
sICAM.1,0.076
Angiotensinogen,0.076
sRAGE,0.074
HCE004331,0.074
Plasminogen,0.074
VEGF.sR2,0.072
HCE000342,0.072
LBP,0.07
Rb,0.068
PDGFRA,0.066
TLR4.MD.2.complex,0.066
AMGO2,0.066
HCE000483,0.066
SSRP1,0.064
MO2R1,0.064
TWEAKR,0.064
P.Selectin,0.064
CAPG,0.064
MIS,0.064
IR,0.062
b2.Microglobulin,0.062
EPI,0.06
OX40.Ligand,0.06
EphB4,0.06
C1q,0.06
sICAM.2,0.06
Protease.nexin.I,0.058
SLAF7,0.058
FSH,0.058
Dtk,0.058
SDF.1,0.058
PERL,0.058
MP2K2,0.056
SHPS1,0.056
Factor.B,0.054
SPTA2,0.054
Neurotrophin.3,0.052
IL.1.sR9,0.052
TFF1,0.052
Collectin.Kidney.1,0.052
RET,0.052
GFRa.1,0.052
SP.D,0.052
GPC2,0.05
ASAH2,0.05
Prothrombin,0.05
cIAP.2,0.05
TNFSF15,0.05
PDE11,0.048
TIG2,0.046
FSTL3,0.046
calgranulin.B,0.046
IGFBP.6,0.046
MDM2,0.044
JAG1,0.044
ASGR1,0.042
MMP.2,0.042
Macrophage.scavenger.receptor,0.042
AN32B,0.04
PCSK9,0.04
ApoM,0.04
Granulysin,0.04
GPC6,0.04
TSH,0.04
CD40.ligand..soluble,0.04
DAN,0.04
Thyroxine.Binding.Globulin,0.04
Trefoil.factor.2,0.04
CATC,0.038
PlGF,0.038
IL.7,0.038
DSC2,0.038
Ephrin.A4,0.038
TSP2,0.038
G.CSF.R,0.038
BSSP4,0.036
MMP.13,0.036
IL.1Ra,0.036
CDK5.p35,0.036
kallikrein.13,0.036
ATS13,0.036
IGFBP.5,0.036
Cathepsin.S,0.036
C3,0.036
Thymidine.kinase,0.036
ANGL4,0.034
HCE004152,0.034
SAP,0.034
LRP1B,0.034
IL.22BP,0.034
Fibronectin,0.034
PAK3,0.034
DC.SIGNR,0.034
NET4,0.034
Trypsin.2,0.034
CDK1.cyclin.B,0.034
BST1,0.034
GPC5,0.032
LYVE1,0.032
QORL1,0.032
GA733.1.protein,0.032
HMGN1,0.032
Artemin,0.032
Nectin.like.protein.1,0.032
SET,0.032
TPSB2,0.03
ADAM12,0.03
contactin.1,0.03
Ephrin.A3,0.03
sTie.1,0.03
FGF.8B,0.03
ALT,0.03
TGF.b1,0.03
ADAM.9,0.03
Contactin.5,0.03
BMP10,0.03
NOTC2,0.028
PAK7,0.028
gp130..soluble,0.028
Glucagon,0.028
Fibrinogen.g.chain.dimer,0.028
Elafin,0.028
ULBP.1,0.028
CYTF,0.028
IDE,0.026
Eotaxin.3,0.026
Protein.disulfide.isomerase.A3,0.026
Discoidin.domain.receptor.2,0.026
CTGF,0.026
PH,0.026
LY9,0.026
HPV.E7.Type.16,0.026
NRP1,0.026
Cystatin.M,0.026
ERP29,0.024
IL.23.R,0.024
gpIIbIIIa,0.024
vWF,0.024
CTACK,0.024
PIGR,0.024
LDH.H.1,0.024
CD226,0.024
IFN.aA,0.024
COLEC12,0.024
bFGF,0.022
Lactoferrin,0.022
Troponin.I,0.022
Siglec.7,0.022
Thyroglobulin,0.022
DSCAM,0.022
INGR2,0.022
GPDA,0.022
CD38,0.022
S100A4,0.022
PUR8,0.022
STAT1,0.022
B7,0.022
C3a,0.02
TMA,0.02
TIMP.2,0.02
SREC.I,0.02
IL.27,0.02
CLC4K,0.02
a1.Antitrypsin,0.02
Siglec.9,0.02
C34.gp41.HIV.Fragment,0.02
dopa.decarboxylase,0.02
Lamin.B1,0.018
ILT.2,0.018
ATS15,0.018
Apo.E3,0.018
TCPTP,0.018
Mammaglobin.2,0.018
BMP.1,0.018
Met,0.018
C1.Esterase.Inhibitor,0.018
C5,0.018
FCN2,0.018
CD27,0.018
HCE003300,0.018
CK.MB,0.018
EPO.R,0.018
Histone.H2A.z,0.018
IL.6.sRa,0.018
PDE1A,0.018
IL.20,0.018
MBL,0.018
PLXC1,0.016
GITR,0.016
HNRPQ,0.016
Activin.AB,0.016
EGF,0.016
TARC,0.016
CD30.Ligand,0.016
Endothelin.converting.enzyme.1,0.016
TIMP.3,0.016
MK11,0.016
a2.Antiplasmin,0.016
ESAM,0.016
EDA,0.016
DKK1,0.016
Dkk.4,0.016
MUC1,0.016
Protein.S,0.016
Thrombopoietin.Receptor,0.016
Kallistatin,0.016
FST,0.016
LEG9,0.016
Coactosin.like.protein,0.016
KEAP1,0.016
Carbonic.Anhydrase.X,0.016
Ku70,0.016
IL.17B,0.016
Catalase,0.014
LAG.1,0.014
NID2,0.014
Factor.H,0.014
LIF.sR,0.014
Epo,0.014
NG36,0.014
ULBP.2,0.014
CYTD,0.014
PAFAH,0.014
Protein.C,0.014
HCE003183,0.014
MMP.3,0.014
FABPE,0.014
HMG.1,0.014
IL.17E,0.014
Eotaxin.2,0.014
C2,0.012
STK16,0.012
Annexin.V,0.012
CD63,0.012
WFKN1,0.012
YKL.40,0.012
IL.8,0.012
TNF.a,0.012
CRTAM,0.012
CDON,0.012
Coagulation.Factor.V,0.012
IDS,0.012
Aggrecan,0.012
C1QBP,0.012
FSTL1,0.012
C3adesArg,0.012
Osteopontin,0.012
Peroxiredoxin.5,0.012
CDK2.cyclin.A,0.012
eIF.5,0.012
ABL1,0.012
ALK.1,0.012
SPARCL1,0.012
sFRP.3,0.012
TrkA,0.012
Adiponectin,0.012
Cadherin.E,0.012
MBD4,0.012
CRP,0.012
RSPO4,0.012
cGMP.stimulated.PDE,0.012
HVEM,0.01
NADPH.P450.Oxidoreductase,0.01
Caspase.10,0.01
NUDC3,0.01
Coagulation.Factor.X,0.01
Corticotropin.lipotropin,0.01
IgE,0.01
ATPO,0.01
Ferritin,0.01
FGF.6,0.01
IL.20.Ra,0.01
DPP2,0.01
MASP3,0.01
LSAMP,0.01
FGF.8A,0.01
FGF.12,0.01
FGF.17,0.01
ECM1,0.01
IL.1.sRI,0.01
ICOS,0.01
FCG2B,0.01
